"st","zcta"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98059"
"53","98058"
"53","98059"
"53","98042"
"53","98059"
"53","98059"
"53","98058"
"53","98058"
"53","98059"
"53","98059"
"53","98058"
"53","98059"
"53","98058"
"53","98058"
"53","98058"
"53","98058"
"53","98022"
"53","98022"
"53","98022"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98058"
"53","98038"
"53","98038"
"53","98038"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98003"
"53","98003"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98092"
"53","98002"
"53","98092"
"53","98042"
"53","98092"
"53","98042"
"53","98042"
"53","98042"
"53","98092"
"53","98042"
"53","98092"
"53","98092"
"53","98092"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98042"
"53","98002"
"53","98002"
"53","98002"
"53","98042"
"53","98002"
"53","98002"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98030"
"53","98038"
"53","98030"
"53","98030"
"53","98038"
"53","98030"
"53","98030"
"53","98038"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98038"
"53","98030"
"53","98030"
"53","98003"
"53","98030"
"53","98030"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98030"
"53","98030"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98042"
"53","98042"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98002"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98042"
"53","98038"
"53","98042"
"53","98038"
"53","98038"
"53","98042"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98042"
"53","98042"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98198"
"53","98198"
"53","98003"
"53","98042"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98042"
"53","98058"
"53","98042"
"53","98058"
"53","98058"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98058"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98030"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98030"
"53","98030"
"53","98030"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98042"
"53","98198"
"53","98198"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98042"
"53","98003"
"53","98042"
"53","98058"
"53","98058"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98042"
"53","98038"
"53","98198"
"53","98198"
"53","98038"
"53","98198"
"53","98058"
"53","98042"
"53","98058"
"53","98038"
"53","98058"
"53","98038"
"53","98058"
"53","98198"
"53","98038"
"53","98198"
"53","98042"
"53","98042"
"53","98042"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98058"
"53","98058"
"53","98058"
"53","98038"
"53","98058"
"53","98058"
"53","98058"
"53","98038"
"53","98058"
"53","98058"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98003"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98092"
"53","98002"
"53","98002"
"53","98092"
"53","98092"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98002"
"53","98092"
"53","98092"
"53","98042"
"53","98003"
"53","98003"
"53","98002"
"53","98002"
"53","98003"
"53","98092"
"53","98022"
"53","98092"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98042"
"53","98042"
"53","98092"
"53","98092"
"53","98092"
"53","98092"
"53","98022"
"53","98092"
"53","98092"
"53","98092"
"53","98002"
"53","98002"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98002"
"53","98022"
"53","98022"
"53","98022"
"53","98022"
"53","98003"
"53","98003"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98003"
"53","98003"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98042"
"53","98002"
"53","98002"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98042"
"53","98038"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98030"
"53","98038"
"53","98038"
"53","98038"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98003"
"53","98003"
"53","98003"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98092"
"53","98092"
"53","98002"
"53","98002"
"53","98002"
"53","98042"
"53","98092"
"53","98003"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98002"
"53","98003"
"53","98002"
"53","98002"
"53","98030"
"53","98002"
"53","98002"
"53","98092"
"53","98092"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98092"
"53","98092"
"53","98042"
"53","98042"
"53","98092"
"53","98092"
"53","98038"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98042"
"53","98038"
"53","98003"
"53","98003"
"53","98002"
"53","98003"
"53","98003"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98042"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98042"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98042"
"53","98092"
"53","98042"
"53","98092"
"53","98092"
"53","98092"
"53","98042"
"53","98042"
"53","98092"
"53","98042"
"53","98092"
"53","98038"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98002"
"53","98038"
"53","98038"
"53","98038"
"53","98042"
"53","98002"
"53","98042"
"53","98042"
"53","98003"
"53","98003"
"53","98002"
"53","98002"
"53","98030"
"53","98002"
"53","98092"
"53","98092"
"53","98092"
"53","98002"
"53","98092"
"53","98092"
"53","98092"
"53","98002"
"53","98042"
"53","98002"
"53","98038"
"53","98092"
"53","98038"
"53","98092"
"53","98038"
"53","98038"
"53","98038"
"53","98030"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98092"
"53","98092"
"53","98092"
"53","98003"
"53","98092"
"53","98092"
"53","98092"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98002"
"53","98003"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98038"
"53","98002"
"53","98038"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98042"
"53","98042"
"53","98092"
"53","98092"
"53","98092"
"53","98038"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98030"
"53","98092"
"53","98003"
"53","98002"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98042"
"53","98092"
"53","98092"
"53","98092"
"53","98092"
"53","98003"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98038"
"53","98038"
"53","98042"
"53","98042"
"53","98092"
"53","98092"
"53","98092"
"53","98038"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98092"
"53","98092"
"53","98042"
"53","98092"
"53","98092"
"53","98038"
"53","98092"
"53","98038"
"53","98092"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98002"
"53","98003"
"53","98002"
"53","98003"
"53","98003"
"53","98002"
"53","98002"
"53","98092"
"53","98002"
"53","98003"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98092"
"53","98092"
"53","98092"
"53","98092"
"53","98092"
"53","98038"
"53","98038"
"53","98038"
"53","98092"
"53","98092"
"53","98038"
"53","98092"
"53","98092"
"53","98038"
"53","98038"
"53","98038"
"53","98003"
"53","98092"
"53","98092"
"53","98092"
"53","98092"
"53","98092"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98042"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98092"
"53","98092"
"53","98092"
"53","98003"
"53","98092"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98030"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98042"
"53","98002"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98002"
"53","98030"
"53","98002"
"53","98002"
"53","98002"
"53","98092"
"53","98092"
"53","98092"
"53","98092"
"53","98092"
"53","98092"
"53","98092"
"53","98092"
"53","98092"
"53","98092"
"53","98092"
"53","98042"
"53","98042"
"53","98092"
"53","98038"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98030"
"53","98030"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98042"
"53","98042"
"53","98038"
"53","98042"
"53","98038"
"53","98042"
"53","98042"
"53","98038"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98042"
"53","98038"
"53","98038"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98042"
"53","98038"
"53","98042"
"53","98042"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98042"
"53","98030"
"53","98030"
"53","98030"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98042"
"53","98058"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98058"
"53","98042"
"53","98042"
"53","98058"
"53","98058"
"53","98038"
"53","98038"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98058"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98092"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98092"
"53","98092"
"53","98092"
"53","98092"
"53","98092"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98002"
"53","98002"
"53","98042"
"53","98002"
"53","98002"
"53","98002"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98030"
"53","98030"
"53","98038"
"53","98030"
"53","98038"
"53","98030"
"53","98038"
"53","98030"
"53","98030"
"53","98003"
"53","98030"
"53","98030"
"53","98042"
"53","98030"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98042"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98042"
"53","98042"
"53","98042"
"53","98002"
"53","98002"
"53","98002"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98038"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98002"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98002"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98042"
"53","98038"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98092"
"53","98038"
"53","98092"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98042"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98002"
"53","98002"
"53","98002"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98042"
"53","98038"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98042"
"53","98038"
"53","98038"
"53","98030"
"53","98038"
"53","98003"
"53","98038"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98092"
"53","98003"
"53","98030"
"53","98092"
"53","98092"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98003"
"53","98002"
"53","98002"
"53","98002"
"53","98002"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98038"
"53","98042"
"53","98042"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98030"
"53","98038"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98058"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98042"
"53","98058"
"53","98042"
"53","98042"
"53","98042"
"53","98042"
"53","98058"
"53","98058"
"53","98058"
"53","98038"
"53","98042"
"53","98058"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98038"
"53","98030"
"53","98058"
"53","98058"
"53","98058"
"53","98038"
"53","98038"
"53","98030"
"53","98030"
"53","98030"
"53","98042"
"53","98058"
"53","98042"
"53","98042"
"53","98058"
"53","98042"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98030"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98198"
"53","98042"
"53","98198"
"53","98042"
"53","98198"
